family,model_label,assay_id,split,evaluated_rows,train_rows,test_rows,spearman,pearson,rmse,mae
tabular,ridge,GRB2_HUMAN_Faure_2021,epistasis_enriched,12438.0,1034.0,12438.0,0.554663324602112,0.598495700571799,0.4501461058262279,0.3710154170685354
tabular,ridge,GRB2_HUMAN_Faure_2021,distance_controlled,,1034.0,0.0,,,,
tabular,ridge,HIS7_YEAST_Pokusaeva_2019,random,49592.0,396909.0,49615.0,0.8141325528606387,0.8539867647569122,0.2339297132046095,0.1792773434393199
tabular,ridge,HIS7_YEAST_Pokusaeva_2019,single_to_multi,254614.0,168.0,495969.0,0.1624708041564757,0.2534720589734779,0.5477630418386941,0.3905125010714839
tabular,ridge,HIS7_YEAST_Pokusaeva_2019,low_to_high_k1,254614.0,168.0,495969.0,0.1624708041564757,0.2534720589734779,0.5477630418386941,0.3905125010714839
tabular,ridge,HIS7_YEAST_Pokusaeva_2019,low_to_high_k2,455313.0,1643.0,494494.0,0.4646507268106926,0.6157620861226347,0.4917034600463874,0.3640610725387928
tabular,ridge,HIS7_YEAST_Pokusaeva_2019,seen_marginal_unseen_combo,254614.0,168.0,254614.0,0.1624708041564757,0.2534720589734779,0.5477630418386941,0.3905125010714839
tabular,ridge,HIS7_YEAST_Pokusaeva_2019,epistasis_enriched,50923.0,168.0,50923.0,0.1727410738191372,0.1876858583097894,0.7651301377700961,0.6225564657422435
tabular,ridge,HIS7_YEAST_Pokusaeva_2019,distance_controlled,253371.0,168.0,494494.0,0.1652457370037643,0.2543321280367782,0.5488910562579419,0.391883544652284
tabular,ridge,PABP_YEAST_Melamed_2013,random,3755.0,30166.0,3772.0,0.8999433720415301,0.8766723029015249,0.1860317852248442,0.1454112334183655
tabular,ridge,PABP_YEAST_Melamed_2013,single_to_multi,36370.0,1187.0,36521.0,0.9015987153403372,0.8525844675469417,0.3175576528764299,0.2643879419863348
tabular,ridge,PABP_YEAST_Melamed_2013,low_to_high_k1,36370.0,1187.0,36521.0,0.9015987153403372,0.8525844675469417,0.3175576528764299,0.2643879419863348
tabular,ridge,PABP_YEAST_Melamed_2013,low_to_high_k2,,37708.0,0.0,,,,
tabular,ridge,PABP_YEAST_Melamed_2013,seen_marginal_unseen_combo,36370.0,1187.0,36370.0,0.9015987153403372,0.8525844675469417,0.3175576528764299,0.2643879419863348
tabular,ridge,PABP_YEAST_Melamed_2013,epistasis_enriched,7274.0,1187.0,7274.0,0.8862649814062669,0.8823551884098311,0.4341515760468919,0.400547747667034
tabular,ridge,PABP_YEAST_Melamed_2013,distance_controlled,,1187.0,0.0,,,,
tabular,ridge,PHOT_CHLRE_Chen_2023,random,16539.0,134023.0,16754.0,0.9412187158159212,0.9259713770051444,0.1086150633528584,0.0849399401736787
tabular,ridge,PHOT_CHLRE_Chen_2023,single_to_multi,165407.0,2122.0,165407.0,-0.0923096488849856,-0.0890821423196846,1.2039917623372889,1.145207365098429
tabular,ridge,PHOT_CHLRE_Chen_2023,low_to_high_k1,165407.0,2122.0,165407.0,-0.0923096488849856,-0.0890821423196846,1.2039917623372889,1.145207365098429
tabular,ridge,PHOT_CHLRE_Chen_2023,low_to_high_k2,165231.0,2298.0,165231.0,0.7339564597874879,0.7468113132947707,0.3931409917351567,0.3452869656211433
tabular,ridge,PHOT_CHLRE_Chen_2023,seen_marginal_unseen_combo,165407.0,2122.0,165407.0,-0.0923096488849856,-0.0890821423196846,1.2039917623372889,1.145207365098429
tabular,ridge,PHOT_CHLRE_Chen_2023,epistasis_enriched,33082.0,2122.0,33082.0,0.2690055964105508,0.2873493811229528,1.5660821823917142,1.546781856393416
